Season,Team,Player,AvgPoints,GP,W,GA,SHO
2023-2024,Woodland Whistle Pigs,Frederik Andersen,10.5,10,9,13,3
2022-2023,Synth City,Jeremy Swayman,9.2,10,9,19,2
2020-2021,Pennant Pumpjacks,Andrei Vasilevskiy,8.92,24,20,44,3
2023-2024,Bowness Ice Beavers,Adin Hill,8.44,16,12,29,2
2020-2021,Alberta Cobra Chickens,Philipp Grubauer,8.31,36,27,69,6
2022-2023,Synth City,Linus Ullmark,8.16,44,36,81,2
2019-2020,Taku River Glaciers,Tuukka Rask,8.03,34,22,71,3
2021-2022,Steel Valley Fishers,Igor Shesterkin,8,18,12,34,3
2019-2020,Pennant Pumpjacks,Andrei Vasilevskiy,7.9,49,34,128,3
2024-2025,Potomac Poutine,Logan Thompson,7.89,27,21,57,2
2024-2025,Les Rois de Lyon,Connor Hellebuyck,7.84,62,46,124,8
2020-2021,Rotterdam Red Foxes,Alex Nedeljkovic,7.79,19,13,34,2
2020-2021,Steel Valley Fishers,Jack Campbell,7.79,19,15,41,1
2023-2024,Scotty,Jeremy Swayman,7.75,16,11,29,3
2020-2021,Minnesota Frozen Pines,Kaapo Kahkonen,7.73,11,8,25,2
2020-2021,Alberta Cobra Chickens,Marc-Andre Fleury,7.68,34,24,70,5
2021-2022,Bowness Ice Beavers,Igor Shesterkin,7.65,31,23,63,2
2023-2024,Alberta Cobra Chckens,Igor Shesterkin,7.64,22,16,51,3
2025-2026,Synth City Sphynx,Scott Wedgewood,7.62,40,28,74,3
2022-2023,Alberta Cobra Chickens,Antti Raanta,7.6,20,14,40,4
2021-2022,Seminole Road Snakeheads,Jacob Markstrom,7.59,34,20,68,8
2024-2025,Steel Valley Fishers,Darcy Kuemper,7.59,39,26,74,4
2024-2025,Woodland Whistle Pigs,Andrei Vasilevskiy,7.58,19,12,37,3
2019-2020,Slick City Jackals,Pekka Rinne,7.47,17,10,46,3
2023-2024,Pennant Pumpjacks,Sergei Bobrovsky,7.43,47,32,102,5
2023-2024,Rockaway Brattwursts,Thatcher Demko,7.37,41,30,100,5
2025-2026,Woodland Whistle Pigs,Brandon Bussi,7.33,30,24,78,2
2021-2022,Cachco Eagles,Frederik Andersen,7.33,51,34,110,4
2020-2021,Steel Valley Fishers,Andrei Vasilevskiy,7.27,15,10,38,2
2019-2020,Potomac Poutine,Jordan Binnington,7.23,43,27,106,3
2022-2023,Slick City Jackals,Joonas Korpisalo,7.2,10,6,19,1
2025-2026,Cantuar Slough Sharks,Andrei Vasilevskiy,7.19,52,36,115,2
2023-2024,Bowness Ice Beavers,David Rittich,7.17,12,7,27,3
2023-2024,Woodland Whistle Pigs,Pyotr Kochetkov,7.16,31,20,66,3
2025-2026,Rotterdam Red Foxes,Joel Hofer,7.13,23,15,53,3
2024-2025,Slick City Jackals,Anthony Stolarz,7.12,16,11,36,2
2020-2021,Maplewood HC,Mike Smith,7,13,9,29,1
2022-2023,Bowness Ice Beavers,Filip Gustavsson,7,15,8,25,2
2022-2023,Mt Pearl Vikings,Ilya Samsonov,7,41,26,92,4
2025-2026,Driftless Hockey Club,Jakub Dobes,6.92,24,17,57,0
2021-2022,Minnesota Frozen Pines,Tristan Jarry,6.9,39,24,86,3
2021-2022,Taku River Glaciers,Jacob Markstrom,6.9,20,12,47,1
2024-2025,Alberta Cobra Chickens,Adin Hill,6.9,49,32,117,4
2020-2021,Potomac Poutine,Juuse Saros,6.89,28,18,63,3
