Season,Team,Player,Avg Points,GP,G,A,Blk
2022-2023,Bowness Ice Beavers,Connor McDavid,9.83,23,22,27,8
2022-2023,Rotterdam Red Foxes,Connor McDavid,8.47,57,42,60,31
2020-2021,Rotterdam Red Foxes,Connor McDavid,8.15,53,32,68,24
2023-2024,Pennant Pumpjacks,Nathan MacKinnon,7.91,81,51,87,69
2023-2024,Steel Valley Fishers,Auston Matthews,7.9,31,28,18,33
2025-2026,Woodland Whistle Pigs,Jack Hughes,7.71,24,15,26,15
2023-2024,Steel Valley Fishers,Nikita Kucherov,7.57,79,43,98,34
2022-2023,Alberta Cobra Chickens,Leon Draisaitl,7.52,77,51,72,39
2025-2026,Pennant Pumpjacks,Nathan MacKinnon,7.5,54,39,53,29
2023-2024,Cantuar Slough Sharks,Artemi Panarin,7.43,28,17,32,6
2023-2024,Rockaway Brattwursts,Auston Matthews,7.43,46,41,18,53
2025-2026,Rotterdam Red Foxes,Connor McDavid,7.35,80,47,86,30
2025-2026,Steel Valley Fishercats,Nikita Kucherov,7.34,73,43,84,27
2021-2022,Cachco Eagles,Auston Matthews,7.33,72,58,46,60
2021-2022,Pennant Pumpjacks,Mitch Marner,7.3,30,18,33,13
2023-2024,Rotterdam Red Foxes,Connor McDavid,7.24,74,31,99,38
2025-2026,Southside Hellbats,Leon Draisaitl,7.2,10,6,11,1
2021-2022,Pennant Pumpjacks,Aleksander Barkov,7.2,25,14,25,16
2019-2020,Bowness Ice Beavers,Mika Zibanejad,7.08,53,38,33,44
2021-2022,Taku River Glaciers,Leon Draisaitl,7,21,17,12,11
2019-2020,Alberta Cobra Chickens,Leon Draisaitl,6.97,68,43,65,18
2022-2023,Pennant Pumpjacks,Nathan MacKinnon,6.94,68,39,68,39
2020-2021,Cachco Eagles,Auston Matthews,6.88,49,40,25,46
2020-2021,Rotterdam Red Foxes,Nathan MacKinnon,6.78,18,10,19,2
2023-2024,Driftless Hockey Club,Sam Reinhart,6.76,50,37,25,43
2024-2025,Steel Valley Fishers,Nikita Kucherov,6.76,74,35,82,32
2024-2025,Alberta Cobra Chickens,Leon Draisaitl,6.7,70,50,53,27
2019-2020,Rotterdam Red Foxes,Connor McDavid,6.68,63,33,63,18
2024-2025,Alberta Cobra Chickens,David Pastrnak,6.65,23,14,20,12
2022-2023,Cantuar Slough Sharks,David Pastrnak,6.64,50,38,32,17
2019-2020,Seminole Road Snakeheads,David Pastrnak,6.59,66,46,45,21
2021-2022,Rotterdam Red Foxes,Connor McDavid,6.58,78,43,75,26
2020-2021,Alberta Cobra Chickens,Leon Draisaitl,6.57,53,30,49,12
2020-2021,Steel Valley Fishers,Mika Zibanejad,6.52,25,17,13,19
2025-2026,Mt Pearl Vikings,Cole Caufield,6.52,23,19,12,7
2022-2023,Pennant Pumpjacks,J.T. Miller,6.5,22,11,17,16
2025-2026,Alberta Cobra Chickens,Leon Draisaitl,6.5,54,29,51,14
2021-2022,Potomac Poutine,Nikita Kucherov,6.43,14,8,12,3
2024-2025,Pennant Pumpjacks,Nathan MacKinnon,6.43,79,32,84,58
2021-2022,Alberta Cobra Chickens,Leon Draisaitl,6.42,53,35,40,13
2022-2023,Steel Valley Fishers,Mikko Rantanen,6.4,78,54,48,40
2023-2024,Synth City Sphynx,Elias Pettersson,6.4,50,27,38,40
2023-2024,Mt Pearl Vikings,Steven Stamkos,6.38,24,16,13,20
2025-2026,Mt Pearl Vikings,Macklin Celebrini,6.38,79,42,68,52
2022-2023,Woodland Whistle Pigs,David Pastrnak,6.34,29,22,15,16
2024-2025,Scotty,John Tavares,6.3,20,15,10,12
2024-2025,Synth City Sphynx,Auston Matthews,6.28,25,11,19,32
2021-2022,Pennant Pumpjacks,Mark Scheifele,6.24,17,9,16,10
2022-2023,Synth City,Elias Pettersson,6.24,75,35,56,86
2024-2025,Steel Valley Fishers,Kirill Kaprizov,6.22,40,25,31,17
2021-2022,Pennant Pumpjacks,Nathan MacKinnon,6.19,62,30,55,39
2022-2023,Synth City,Mika Zibanejad,6.19,27,12,23,22
2025-2026,Steel Valley Fishercats,Robert Thomas,6.18,17,11,10,13
2019-2020,Steel Valley Fishers,Brad Marchand,6.17,12,5,12,5
2023-2024,Steel Valley Fishers,Kirill Kaprizov,6.17,71,42,48,37
2022-2023,Woodland Whistle Pigs,Matthew Tkachuk,6.14,78,40,68,31
